State,Women_Earnings_2023,Men_Earnings_2023,Gap_Percent
Alabama,43678,58015,75.3
Alaska,59437,68830,86.4
Arizona,52189,60000,87.0
Arkansas,42816,53356,80.2
California,61866,69671,88.8
Colorado,59140,73462,80.5
Connecticut,66401,78186,84.9
Delaware,53994,65663,82.2
District of Columbia,89655,106939,83.8
Florida,47744,56442,84.6
Georgia,50374,61290,82.2
Hawaii,54317,65403,83.0
Idaho,44501,58329,76.3
Illinois,55335,68405,80.9
Indiana,48159,62315,77.3
Iowa,50226,62234,80.7
Kansas,47520,60708,78.3
Kentucky,45355,57027,79.5
Louisiana,43665,58298,74.9
Maine,51882,61644,84.2
Maryland,66357,77748,85.3
Massachusetts,69811,83074,84.0
Michigan,51720,64193,80.6
Minnesota,58288,70640,82.5
Mississippi,40856,53181,76.8
Missouri,46670,59202,78.8
Montana,46396,57279,81.0
Nebraska,50260,61493,81.7
Nevada,48639,56628,85.9
New Hampshire,57315,76238,75.2
New Jersey,65827,78078,84.3
New Mexico,47508,55715,85.3
New York,63394,72159,87.9
North Carolina,49080,57912,84.7
North Dakota,49690,63343,78.4
Ohio,50984,63111,80.8
Oklahoma,43783,54963,79.7
Oregon,55900,64961,86.1
Pennsylvania,54218,66339,81.7
Rhode Island,58902,71337,82.6
South Carolina,45362,57422,79.0
South Dakota,46937,58449,80.3
Tennessee,46881,57438,81.6
Texas,50106,62508,80.2
Utah,49711,68031,73.1
Vermont,57195,64996,88.0
Virginia,58824,73455,80.1
Washington,64409,78699,81.8
West Virginia,44235,57257,77.3
Wisconsin,51623,63803,80.9
Wyoming,49911,62899,79.4
