Education,Measure Names,Sex,Measure Values
Total,Earnings,Men,"1,346"
Less than a high school diploma,Earnings,Men,788
"High school graduates, no college",Earnings,Men,"1,033"
Some college or associate degree,Earnings,Men,"1,209"
Bachelor's degree only,Earnings,Men,"1,770"
Advanced degree,Earnings,Men,"2,261"
Total,Earnings,Women,"1,103"
Less than a high school diploma,Earnings,Women,663
"High school graduates, no college",Earnings,Women,805
Some college or associate degree,Earnings,Women,921
Bachelor's degree only,Earnings,Women,"1,344"
Advanced degree,Earnings,Women,"1,703"
